scene	frames	prompts	refs	title
19	243	19_landing-in-the-down-v1.txt	2-3-6	landing in the down
20	243	20_she-bellows-at-him-v1.txt	2-3-6	she bellows at him
21	243	21_she-lowers-her-head-and-he-reaches-v1.txt	2-3-6	she lowers her head and he reaches behind him
23	243	23_she-swallows-it-and-walks-past-him-v1.txt	2-3-6	she swallows it and walks past him
24	243	24_he-turns-and-watches-her-go-v1.txt	2-3-6	he turns and watches her go
26	243	26_grain-on-his-back-v1.txt	2-3-6	grain on his back
27	243	27_she-stoops-and-pecks-him-once-v1.txt	2-3-6	she stoops and pecks him once
28	243	28_the-background-goes-black-v1.txt	2-3-6	the background goes black
29	243	29_her-pupils-narrow-v1.txt	2-3-6	her pupils narrow
30	243	30_onto-her-back-and-the-run-for-the-v1.txt	2-3-6	onto her back, and the run for the door
