scene	song_start	song_end	tl_frame	frames	duration	inner_cuts	continuity	audio	prompts	refs	lyrics
07	00:23.792	00:30.375	814	158	6.5833	-	-	07_licking-his-own-eye.mp3	07_licking-his-own-eye-v1.txt 07_licking-his-own-eye-v2.txt 07_licking-his-own-eye-v3.txt	2,4	Die Fliegen schwirren um mein Gesicht, ich könnt' sie fressen aber Hunger hab ich nicht
22	01:18.625	01:23.792	2130	124	5.1667	-	-	22_up-the-chicken-ladder.mp3	22_up-the-chicken-ladder-v1.txt 22_up-the-chicken-ladder-v2.txt 22_up-the-chicken-ladder-v3.txt	2,4	(instrumental)
